months,"Abdusattorov, Nodirbek ",Erigaisi Arjun ,"Esipenko, Andrey ","Firouzja, Alireza ",Gukesh D ,"Keymer, Vincent ","Niemann, Hans Moke ",Nihal Sarin ,Praggnanandhaa R ,"Yakubboev, Nodirbek "
73,,,,,,,,,1346.0,
74,,,,,,,,,1356.0,
75,,,,,,,,,1340.0,
76,,,,,,,,,1340.0,
77,,,,,,,,,1378.0,
78,,,,,,,,,1478.0,
79,,,,,,,,,1478.0,
80,,,,,,,,,1478.0,
81,,,,,,,,,1478.0,
82,,,,,,,,,1538.0,
83,1930.0,,,,,,,,1536.0,
84,1930.0,,,,,1721.0,,1268.0,1607.0,
85,1907.0,,,,,1721.0,,1299.0,1761.0,
86,1907.0,,,,1291.0,1721.0,,1312.0,1761.0,
87,1937.0,,,,1291.0,1721.0,,1312.0,1777.0,
88,1937.0,,,,1305.0,1721.0,,1341.0,1769.0,
89,1937.0,,,,1303.0,1721.0,,1341.0,1807.0,
90,1949.0,,,,1303.0,1721.0,,1371.0,1813.0,
91,1949.0,,,,1297.0,1721.0,,1371.0,1819.0,
92,1949.0,,,,1256.0,1720.0,,1371.0,1819.0,
93,1950.0,,,,1253.0,1793.0,,1371.0,1825.0,
94,1915.0,,,,1253.0,1793.0,,1484.0,1840.0,
95,1915.0,,,,1278.0,1793.0,,1484.0,1852.0,
96,1915.0,1584.0,,,1278.0,1789.0,,1484.0,1938.0,
97,1915.0,1584.0,,,1280.0,1789.0,,1580.0,1974.0,
98,1935.0,1571.0,,,1475.0,1861.0,,1580.0,1989.0,
99,1935.0,1557.0,,,1661.0,1861.0,,1580.0,1989.0,
100,1935.0,1528.0,,,1616.0,1861.0,,1580.0,1969.0,
101,1935.0,1548.0,,,1616.0,1911.0,,1663.0,1979.0,
102,1967.0,1548.0,,,1600.0,1933.0,,1663.0,1948.0,
103,1967.0,1650.0,,,1600.0,1933.0,,1663.0,1948.0,
104,1967.0,1669.0,,,1701.0,1955.0,,1725.0,1836.0,
105,1967.0,1684.0,,,1735.0,1955.0,,1729.0,1946.0,
106,1954.0,1731.0,,,1752.0,1955.0,,1729.0,2104.0,
107,1954.0,1734.0,,,1772.0,1970.0,,1744.0,2104.0,
108,2024.0,1739.0,,,1801.0,1970.0,,1737.0,2084.0,
109,2057.0,1739.0,,,1764.0,2014.0,,1737.0,2203.0,
110,2057.0,1740.0,,1756.0,1765.0,2014.0,,1737.0,2200.0,
111,2108.0,1740.0,,1756.0,1801.0,2036.0,,1737.0,2220.0,1909.0
112,2128.0,1753.0,,1750.0,1869.0,2036.0,,1797.0,2225.0,1895.0
113,2128.0,1780.0,2114.0,1750.0,1949.0,2036.0,,1787.0,2103.0,1852.0
114,2128.0,1792.0,2114.0,1750.0,2041.0,2092.0,,1800.0,2129.0,1852.0
115,2179.0,1792.0,2100.0,1750.0,2041.0,2116.0,,1800.0,2104.0,1852.0
116,2186.0,1811.0,2100.0,1734.0,2062.0,2116.0,,2018.0,2077.0,1896.0
117,2186.0,1818.0,2139.0,1734.0,2095.0,2116.0,,2076.0,2077.0,1909.0
118,2193.0,1839.0,2139.0,1884.0,2095.0,2176.0,,2110.0,2085.0,1965.0
119,2193.0,1814.0,2116.0,1924.0,2061.0,2214.0,,2110.0,2177.0,1965.0
120,2263.0,1814.0,2120.0,1911.0,2056.0,2365.0,,2110.0,2177.0,1996.0
121,2465.0,1803.0,2120.0,1913.0,2092.0,2365.0,,2038.0,2301.0,2005.0
122,2465.0,1785.0,2120.0,1913.0,1974.0,2338.0,,2038.0,2339.0,2005.0
123,2443.0,1814.0,2095.0,1948.0,2032.0,2338.0,,2038.0,2376.0,1987.0
124,2432.0,1814.0,2144.0,1946.0,2175.0,2352.0,1982.0,2038.0,2368.0,1978.0
125,2432.0,1814.0,2191.0,1946.0,2252.0,2352.0,1982.0,2096.0,2368.0,1978.0
126,2432.0,1857.0,2191.0,1954.0,2236.0,2356.0,1973.0,2249.0,2429.0,2004.0
127,2432.0,1907.0,2191.0,1954.0,2236.0,2347.0,1987.0,2260.0,2429.0,2004.0
128,2436.0,1914.0,2191.0,1954.0,2184.0,2342.0,1987.0,2096.0,2442.0,2056.0
129,2429.0,1968.0,2188.0,2045.0,2260.0,2324.0,1991.0,2096.0,2442.0,2056.0
130,2430.0,1968.0,2203.0,2079.0,2260.0,2353.0,1991.0,2096.0,2452.0,2036.0
131,2430.0,2024.0,2226.0,2079.0,2283.0,2368.0,1995.0,2217.0,2452.0,2036.0
132,2391.0,2080.0,2252.0,2079.0,2332.0,2350.0,1985.0,2217.0,2437.0,2062.0
133,2391.0,2080.0,2248.0,2107.0,2365.0,2352.0,2000.0,2259.0,2455.0,2062.0
134,2382.0,2120.0,2254.0,2188.0,2365.0,2294.0,2000.0,2351.0,2455.0,2062.0
135,2382.0,2120.0,2287.0,2238.0,2335.0,2341.0,1867.0,2351.0,2447.0,2062.0
136,2375.0,2120.0,2289.0,2332.0,2323.0,2341.0,1867.0,2349.0,2471.0,2075.0
137,2375.0,2146.0,2289.0,2332.0,2362.0,2348.0,1894.0,2364.0,2467.0,2075.0
138,2375.0,2132.0,2288.0,2291.0,2362.0,2402.0,2192.0,2358.0,2479.0,2131.0
139,2395.0,2167.0,2316.0,2305.0,2354.0,2402.0,2280.0,2358.0,2487.0,2132.0
140,2428.0,2127.0,2316.0,2312.0,2320.0,2419.0,2238.0,2324.0,2500.0,2132.0
141,2428.0,2173.0,2282.0,2278.0,2360.0,2415.0,2170.0,2324.0,2503.0,2217.0
142,2429.0,2173.0,2286.0,2277.0,2401.0,2428.0,2166.0,2340.0,2509.0,2207.0
143,2429.0,2238.0,2311.0,2277.0,2426.0,2420.0,2176.0,2340.0,2517.0,2207.0
144,2429.0,2379.0,2315.0,2277.0,2431.0,2401.0,2197.0,2340.0,2515.0,2207.0
145,2437.0,2379.0,2286.0,2309.0,2433.0,2400.0,2142.0,2386.0,2507.0,2193.0
146,2453.0,2350.0,2273.0,2323.0,2440.0,2409.0,2114.0,2386.0,2507.0,2193.0
147,2462.0,2351.0,2271.0,2364.0,2453.0,2411.0,2046.0,2424.0,2520.0,2144.0
148,2467.0,2351.0,2271.0,2386.0,2456.0,2411.0,2046.0,2454.0,2529.0,2274.0
149,2470.0,2337.0,2306.0,2372.0,2457.0,2432.0,2154.0,2454.0,2529.0,2274.0
150,2486.0,2337.0,2350.0,2455.0,2466.0,2419.0,2278.0,2471.0,2529.0,2274.0
151,2498.0,2307.0,2350.0,2475.0,2497.0,2413.0,2320.0,2485.0,2532.0,2273.0
152,2498.0,2307.0,2350.0,2475.0,2508.0,2405.0,2325.0,2483.0,2519.0,2273.0
153,2516.0,2300.0,2355.0,2468.0,2529.0,2405.0,2342.0,2483.0,2519.0,2296.0
154,2516.0,2309.0,2403.0,2485.0,2536.0,2408.0,2298.0,2487.0,2530.0,2296.0
155,2516.0,2270.0,2403.0,2485.0,2533.0,2418.0,2298.0,2507.0,2530.0,2296.0
