total_games,variable,rating,player
10,standard,1756,"Firouzja, Alireza"
13,standard,1750,"Firouzja, Alireza"
18,standard,1734,"Firouzja, Alireza"
35,standard,1884,"Firouzja, Alireza"
44,standard,1924,"Firouzja, Alireza"
52,standard,1911,"Firouzja, Alireza"
59,standard,1913,"Firouzja, Alireza"
67,standard,1948,"Firouzja, Alireza"
75,standard,1946,"Firouzja, Alireza"
84,standard,1954,"Firouzja, Alireza"
110,standard,2045,"Firouzja, Alireza"
123,standard,2079,"Firouzja, Alireza"
141,standard,2107,"Firouzja, Alireza"
151,standard,2188,"Firouzja, Alireza"
159,standard,2238,"Firouzja, Alireza"
176,standard,2332,"Firouzja, Alireza"
192,standard,2291,"Firouzja, Alireza"
203,standard,2305,"Firouzja, Alireza"
212,standard,2312,"Firouzja, Alireza"
235,standard,2278,"Firouzja, Alireza"
248,standard,2277,"Firouzja, Alireza"
257,standard,2309,"Firouzja, Alireza"
266,standard,2323,"Firouzja, Alireza"
278,standard,2364,"Firouzja, Alireza"
287,standard,2386,"Firouzja, Alireza"
298,standard,2372,"Firouzja, Alireza"
320,standard,2455,"Firouzja, Alireza"
331,standard,2475,"Firouzja, Alireza"
336,standard,2475,"Firouzja, Alireza"
344,standard,2468,"Firouzja, Alireza"
351,standard,2485,"Firouzja, Alireza"
360,standard,2481,"Firouzja, Alireza"
382,standard,2464,"Firouzja, Alireza"
387,standard,2463,"Firouzja, Alireza"
395,standard,2469,"Firouzja, Alireza"
407,standard,2474,"Firouzja, Alireza"
419,standard,2456,"Firouzja, Alireza"
428,standard,2465,"Firouzja, Alireza"
431,standard,2470,"Firouzja, Alireza"
451,standard,2492,"Firouzja, Alireza"
459,standard,2487,"Firouzja, Alireza"
468,standard,2499,"Firouzja, Alireza"
474,standard,2517,"Firouzja, Alireza"
483,standard,2527,"Firouzja, Alireza"
496,standard,2525,"Firouzja, Alireza"
502,standard,2521,"Firouzja, Alireza"
511,standard,2509,"Firouzja, Alireza"
534,standard,2549,"Firouzja, Alireza"
543,standard,2558,"Firouzja, Alireza"
563,standard,2572,"Firouzja, Alireza"
572,standard,2570,"Firouzja, Alireza"
581,standard,2561,"Firouzja, Alireza"
597,standard,2582,"Firouzja, Alireza"
617,standard,2600,"Firouzja, Alireza"
628,standard,2607,"Firouzja, Alireza"
638,standard,2607,"Firouzja, Alireza"
656,standard,2618,"Firouzja, Alireza"
684,standard,2657,"Firouzja, Alireza"
702,standard,2669,"Firouzja, Alireza"
728,standard,2682,"Firouzja, Alireza"
737,standard,2685,"Firouzja, Alireza"
750,standard,2702,"Firouzja, Alireza"
761,standard,2720,"Firouzja, Alireza"
762,standard,2723,"Firouzja, Alireza"
775,standard,2726,"Firouzja, Alireza"
784,standard,2728,"Firouzja, Alireza"
794,standard,2749,"Firouzja, Alireza"
807,standard,2759,"Firouzja, Alireza"
