months,variable,rating,player
110,standard,1756,"Firouzja, Alireza"
111,standard,1756,"Firouzja, Alireza"
112,standard,1750,"Firouzja, Alireza"
113,standard,1750,"Firouzja, Alireza"
114,standard,1750,"Firouzja, Alireza"
115,standard,1750,"Firouzja, Alireza"
116,standard,1734,"Firouzja, Alireza"
117,standard,1734,"Firouzja, Alireza"
118,standard,1884,"Firouzja, Alireza"
119,standard,1924,"Firouzja, Alireza"
120,standard,1911,"Firouzja, Alireza"
121,standard,1913,"Firouzja, Alireza"
122,standard,1913,"Firouzja, Alireza"
123,standard,1948,"Firouzja, Alireza"
124,standard,1946,"Firouzja, Alireza"
125,standard,1946,"Firouzja, Alireza"
126,standard,1954,"Firouzja, Alireza"
127,standard,1954,"Firouzja, Alireza"
128,standard,1954,"Firouzja, Alireza"
129,standard,2045,"Firouzja, Alireza"
130,standard,2079,"Firouzja, Alireza"
131,standard,2079,"Firouzja, Alireza"
132,standard,2079,"Firouzja, Alireza"
133,standard,2107,"Firouzja, Alireza"
134,standard,2188,"Firouzja, Alireza"
135,standard,2238,"Firouzja, Alireza"
136,standard,2332,"Firouzja, Alireza"
137,standard,2332,"Firouzja, Alireza"
138,standard,2291,"Firouzja, Alireza"
139,standard,2305,"Firouzja, Alireza"
140,standard,2312,"Firouzja, Alireza"
141,standard,2278,"Firouzja, Alireza"
142,standard,2277,"Firouzja, Alireza"
143,standard,2277,"Firouzja, Alireza"
144,standard,2277,"Firouzja, Alireza"
145,standard,2309,"Firouzja, Alireza"
146,standard,2323,"Firouzja, Alireza"
147,standard,2364,"Firouzja, Alireza"
148,standard,2386,"Firouzja, Alireza"
149,standard,2372,"Firouzja, Alireza"
150,standard,2455,"Firouzja, Alireza"
151,standard,2475,"Firouzja, Alireza"
152,standard,2475,"Firouzja, Alireza"
153,standard,2468,"Firouzja, Alireza"
154,standard,2485,"Firouzja, Alireza"
155,standard,2485,"Firouzja, Alireza"
156,standard,2481,"Firouzja, Alireza"
157,standard,2464,"Firouzja, Alireza"
158,standard,2463,"Firouzja, Alireza"
159,standard,2469,"Firouzja, Alireza"
160,standard,2474,"Firouzja, Alireza"
161,standard,2456,"Firouzja, Alireza"
162,standard,2456,"Firouzja, Alireza"
163,standard,2465,"Firouzja, Alireza"
164,standard,2470,"Firouzja, Alireza"
165,standard,2492,"Firouzja, Alireza"
166,standard,2487,"Firouzja, Alireza"
167,standard,2499,"Firouzja, Alireza"
168,standard,2499,"Firouzja, Alireza"
169,standard,2517,"Firouzja, Alireza"
170,standard,2527,"Firouzja, Alireza"
171,standard,2525,"Firouzja, Alireza"
172,standard,2521,"Firouzja, Alireza"
173,standard,2509,"Firouzja, Alireza"
174,standard,2549,"Firouzja, Alireza"
175,standard,2549,"Firouzja, Alireza"
176,standard,2558,"Firouzja, Alireza"
177,standard,2572,"Firouzja, Alireza"
178,standard,2570,"Firouzja, Alireza"
179,standard,2561,"Firouzja, Alireza"
180,standard,2561,"Firouzja, Alireza"
181,standard,2561,"Firouzja, Alireza"
182,standard,2582,"Firouzja, Alireza"
